Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Outstanding Balance,Employee,Location,Device ID,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References
テストユーザー1163301,test-user-85684@example.com,paid,2024-12-29 21:21:32 +0900,fulfilled,2024-12-29 21:21:37 +0900,JPY,13860,0,0,13860,,0,,2024-12-29 21:21:32 +0900,1,UNIクラフトカットケーキ箱1号SS/10〜100個入 - 100個入り,3850,,UNI008AA,true,true,fulfilled,テストユーザー925155,,,,,,,,,,,,,,,,,,,,,,manual (クレジットカード決済),payment-ref-1163302,0,テストベンダーF23,252,,,,6307035644218,"新規,テスト顧客",Low,Matrixify App,0,,,,,,,,,,,,,,,,#4745.1,,,payment-ref-1163302
テストユーザー1163301,test-user-85684@example.com,,,,,,,,,,,,,2024-12-29 21:21:32 +0900,1,UNIクラフトカットケーキ箱4号L/10〜100個入 - 50個入り,2970,,UNI011AA,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,テストベンダーF23,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163301,test-user-85684@example.com,,,,,,,,,,,,,2024-12-29 21:21:32 +0900,1,UNIクラフトカットケーキ箱3号M/10〜100個入 - 100個入り,4620,,UNI010AA,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,テストベンダーF23,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163301,test-user-85684@example.com,,,,,,,,,,,,,2024-12-29 21:21:32 +0900,1,UNIクラフトロールケーキ箱/10〜100個入 - 50個入り,2420,,UNI012AA,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,テストベンダーF23,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163303,test-user-111038@example.com,paid,2024-12-29 21:21:32 +0900,fulfilled,2024-12-29 21:21:37 +0900,JPY,5044,0,0,5044,Line item discounts,346,,2024-12-29 21:21:32 +0900,1,UNIクラフトデコ箱6号H80/10〜50個入 - 50個入り,3080,,UNI003AA,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,manual (クレジットカード決済),payment-ref-1163304,0,テストベンダーF23,98,,,,6307035611450,,Low,Matrixify App,0,,,,,,,,,,,,,,,,#4746.1,,,payment-ref-1163304
テストユーザー1163303,test-user-111038@example.com,,,,,,,,,,,,,2024-12-29 21:21:32 +0900,1,UNIクラフトデコ箱4号H80/10〜50個入 - 50個入り,2310,,UNI014AA,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,テストベンダーF23,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163305,test-user-92603@example.com,paid,2024-12-29 21:21:31 +0900,fulfilled,2024-12-29 21:21:32 +0900,JPY,7700,324,0,8024,,0,通常配送,2024-12-29 21:21:31 +0900,1,Criollo-Bitter-デコ箱4号H130/10〜50個入 - 50個入り,3960,,CRO003TP_s,true,true,fulfilled,テストユーザー540670,,,,,,,,,,,,,,,,,,,,,,manual (代金引換),payment-ref-1163306,0,テストベンダーF23,140,,,,6307035480378,"新規,テスト顧客",Low,Matrixify App,0,,,,,,,,,,,,,,,,#4744.1,,,payment-ref-1163306
テストユーザー1163305,test-user-92603@example.com,,,,,,,,,,,,,2024-12-29 21:21:31 +0900,1,クラフトデコ箱5号H113/10〜50個入(ホールケーキ) - 50個入り,3740,,CLF003TP,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,テストベンダーF23,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
テストユーザー1163307,test-user-110713@example.com,paid,2024-12-29 21:21:31 +0900,fulfilled,2024-12-29 21:21:35 +0900,JPY,12650,0,0,12650,,0,,2024-12-29 21:21:30 +0900,1,UNIクラフトカットケーキ箱1号SS/10〜100個入 - 100個入り,3850,,UNI008AA,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,manual (クレジットカード決済),payment-ref-1163308,0,テストベンダーF23,230,,,,6307035447610,,Low,Matrixify App,0,,,,,,,,,,,,,,,,#4742.1,,,payment-ref-1163308
テストユーザー1163307,test-user-110713@example.com,,,,,,,,,,,,,2024-12-29 21:21:30 +0900,1,UNIクラフトカットケーキ箱2号S/10〜100個入 - 100個入り,4180,,UNI009AA,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,テストベンダーF23,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
