Id,Email,Accepts Email Marketing,Created At,Updated At,First Name,Last Name,Orders Count,State,Total Spent,Last Order Id,Note,Verified Email,Tax Exempt,Tags,Last Order Name,Currency,Addresses,Birthday,Marketing Opt In Level,Phone,Accepts SMS Marketing
CUST-2001,loyal-customer-2001@example.com,true,2020-01-15 10:00:00 +0900,2025-07-15 15:30:00 +0900,田中,太郎,24,enabled,480000,ORD-2524,,true,false,"VIP,ロイヤル顧客,高価値",ORD-2524,JPY,,1985-03-15,single_opt_in,090-1111-0001,true
CUST-2002,regular-customer-2002@example.com,true,2020-02-20 14:30:00 +0900,2025-06-20 11:15:00 +0900,佐藤,花子,18,enabled,360000,ORD-2518,,true,false,"リピーター,優良顧客",ORD-2518,JPY,,1990-08-22,single_opt_in,090-1111-0002,true
CUST-2003,frequent-customer-2003@example.com,true,2020-03-10 16:45:00 +0900,2025-07-10 14:20:00 +0900,鈴木,次郎,15,enabled,225000,ORD-2520,,true,false,"リピーター,定期購入",ORD-2520,JPY,,1988-12-05,single_opt_in,090-1111-0003,false
CUST-2004,moderate-customer-2004@example.com,true,2020-04-25 09:15:00 +0900,2025-05-15 16:40:00 +0900,高橋,美咲,8,enabled,120000,ORD-2480,,true,false,"リピーター",ORD-2480,JPY,,1992-06-18,single_opt_in,090-1111-0004,true
CUST-2005,occasional-customer-2005@example.com,false,2020-06-12 13:20:00 +0900,2024-12-20 10:30:00 +0900,伊藤,健一,5,enabled,75000,ORD-2455,,true,false,"たまに購入",ORD-2455,JPY,,1987-11-30,single_opt_in,090-1111-0005,false
CUST-2006,dormant-customer-2006@example.com,true,2020-07-08 11:45:00 +0900,2023-08-15 14:25:00 +0900,山田,由美,3,enabled,45000,ORD-2250,,true,false,"休眠顧客,要フォロー",ORD-2250,JPY,,1991-04-12,single_opt_in,090-1111-0006,true
CUST-2007,one-time-customer-2007@example.com,false,2021-01-20 15:30:00 +0900,2021-01-20 15:30:00 +0900,渡辺,雅志,1,enabled,15000,ORD-2050,,true,false,"新規,一回のみ",ORD-2050,JPY,,1994-09-08,single_opt_in,090-1111-0007,false
CUST-2008,seasonal-customer-2008@example.com,true,2020-12-01 12:00:00 +0900,2024-12-15 16:20:00 +0900,中村,真理,6,enabled,90000,ORD-2460,,true,false,"季節購入,年末年始",ORD-2460,JPY,,1989-01-25,single_opt_in,090-1111-0008,true
CUST-2009,gift-customer-2009@example.com,true,2021-05-10 14:15:00 +0900,2025-06-05 13:10:00 +0900,小林,直美,7,enabled,105000,ORD-2515,,true,false,"ギフト利用,イベント",ORD-2515,JPY,,1993-07-14,single_opt_in,090-1111-0009,true
CUST-2010,recent-customer-2010@example.com,true,2024-01-15 10:30:00 +0900,2025-07-20 12:45:00 +0900,加藤,翔太,4,enabled,60000,ORD-2525,,true,false,"新規,成長中",ORD-2525,JPY,,1996-03-22,single_opt_in,090-1111-0010,true
CUST-2011,bulk-customer-2011@example.com,true,2020-05-20 16:20:00 +0900,2025-04-10 11:30:00 +0900,森田,康夫,12,enabled,240000,ORD-2485,,true,false,"法人,まとめ買い",ORD-2485,JPY,,1983-10-15,single_opt_in,090-1111-0011,false
CUST-2012,spring-customer-2012@example.com,true,2021-03-15 13:45:00 +0900,2025-03-20 15:15:00 +0900,橋本,典子,9,enabled,135000,ORD-2470,,true,false,"春購入,季節性",ORD-2470,JPY,,1990-05-18,single_opt_in,090-1111-0012,true
CUST-2013,comeback-customer-2013@example.com,false,2020-08-30 14:50:00 +0900,2025-01-25 10:20:00 +0900,岡田,博史,6,enabled,90000,ORD-2465,,true,false,"復帰顧客",ORD-2465,JPY,,1986-12-08,single_opt_in,090-1111-0013,false
CUST-2014,premium-customer-2014@example.com,true,2021-11-20 09:25:00 +0900,2025-07-18 14:40:00 +0900,松本,麻衣,11,enabled,165000,ORD-2522,,true,false,"プレミアム,高単価",ORD-2522,JPY,,1987-02-28,single_opt_in,090-1111-0014,true
CUST-2015,young-customer-2015@example.com,true,2022-06-10 11:30:00 +0900,2025-07-12 16:50:00 +0900,野口,美穂,8,enabled,80000,ORD-2521,,true,false,"若年層,SNS経由",ORD-2521,JPY,,1998-04-10,single_opt_in,090-1111-0015,true
CUST-2016,holiday-customer-2016@example.com,true,2020-11-25 15:40:00 +0900,2024-11-30 12:25:00 +0900,清水,孝明,5,enabled,75000,ORD-2450,,true,false,"休日購入,家族利用",ORD-2450,JPY,,1984-08-05,single_opt_in,090-1111-0016,true
CUST-2017,trial-customer-2017@example.com,false,2023-09-15 13:20:00 +0900,2024-02-10 15:30:00 +0900,藤田,理恵,2,enabled,30000,ORD-2380,,true,false,"お試し,様子見",ORD-2380,JPY,,1995-11-12,single_opt_in,090-1111-0017,false
CUST-2018,consistent-customer-2018@example.com,true,2021-01-05 10:15:00 +0900,2025-07-08 13:35:00 +0900,石田,健二,13,enabled,195000,ORD-2519,,true,false,"安定顧客,月次購入",ORD-2519,JPY,,1991-09-25,single_opt_in,090-1111-0018,true
CUST-2019,weekend-customer-2019@example.com,true,2022-04-22 16:10:00 +0900,2025-06-28 14:15:00 +0900,坂本,奈々,6,enabled,72000,ORD-2516,,true,false,"週末購入",ORD-2516,JPY,,1993-01-18,single_opt_in,090-1111-0019,true
CUST-2020,event-customer-2020@example.com,true,2020-10-12 12:30:00 +0900,2025-05-20 11:45:00 +0900,山本,智子,7,enabled,84000,ORD-2510,,true,false,"イベント購入,記念日",ORD-2510,JPY,,1989-07-03,single_opt_in,090-1111-0020,true
