Customer ID,First Name,Last Name,Email,Accepts Email Marketing,Company,Address1,Address2,City,Province,Province Code,Country,Country Code,Zip,Phone,Accepts SMS Marketing,Total Spent,Total Orders,Tags,Note,Tax Exempt,Company / 店舗名,Industry / 業種名,Created At,Updated At
CUST-3001,村幸子,木,hokkaido-customer-001@example.com,yes,,,,稚内市,北海道,JP-01,日本,JP,,090-5627-3100,no,378429,22,"VIP,リピーター,北海道愛好家",,no,,,,
CUST-3002,藤翔太,斎,hokkaido-customer-002@example.com,no,,,,北見市,北海道,JP-01,日本,JP,,090-3525-6105,no,248945,22,"VIP,リピーター,北海道愛好家",,no,,,,
CUST-3003,上美咲,井,hokkaido-customer-003@example.com,yes,,,,東京,東京都,JP-13,日本,JP,,090-5802-1106,no,246950,29,"VIP,リピーター,北海道愛好家",,no,,,,
CUST-3004,上優子,井,hokkaido-customer-004@example.com,yes,,,,仙台,宮城県,JP-04,日本,JP,,090-3141-7675,yes,381919,25,"VIP,リピーター,北海道愛好家",,no,,,,
CUST-3005,本誠,松,hokkaido-customer-005@example.com,yes,,,,大阪,大阪府,JP-27,日本,JP,,090-2742-3720,yes,274947,28,"VIP,リピーター,北海道愛好家",,no,,,,
CUST-3006,直樹,林,hokkaido-customer-006@example.com,yes,,,,深川市,北海道,JP-01,日本,JP,,090-4995-1219,no,221458,24,"VIP,リピーター,北海道愛好家",,no,,,,
CUST-3007,口優子,山,hokkaido-customer-007@example.com,no,,,,福岡,福岡県,JP-40,日本,JP,,090-7980-1396,yes,499586,30,"VIP,リピーター,北海道愛好家",,no,,,,
CUST-3008,中拓也,田,hokkaido-customer-008@example.com,yes,,,,帯広市,北海道,JP-01,日本,JP,,090-3172-6435,yes,496546,22,"VIP,リピーター,北海道愛好家",,no,,,,
CUST-3009,本健太,山,hokkaido-customer-009@example.com,yes,,,,東京,東京都,JP-13,日本,JP,,090-5854-3091,no,270286,24,"VIP,リピーター,北海道愛好家",,no,,,,
CUST-3010,々木翔太,佐,hokkaido-customer-010@example.com,no,,,,深川市,北海道,JP-01,日本,JP,,090-8570-7622,no,424985,21,"VIP,リピーター,北海道愛好家",,no,,,,
CUST-3011,上次郎,井,hokkaido-customer-011@example.com,yes,,,,札幌市,北海道,JP-01,日本,JP,,090-9900-5751,yes,495751,28,"VIP,リピーター,北海道愛好家",,no,,,,
CUST-3012,田健太,吉,hokkaido-customer-012@example.com,yes,,,,福岡,福岡県,JP-40,日本,JP,,090-9639-6240,yes,398608,22,"VIP,リピーター,北海道愛好家",,no,,,,
CUST-3013,上美咲,井,hokkaido-customer-013@example.com,no,,,,滝川市,北海道,JP-01,日本,JP,,090-8330-6131,yes,254424,22,"VIP,リピーター,北海道愛好家",,no,,,,
CUST-3014,村直樹,木,hokkaido-customer-014@example.com,yes,,,,千歳市,北海道,JP-01,日本,JP,,090-8212-9845,no,409117,23,"VIP,リピーター,北海道愛好家",,no,,,,
CUST-3015,々木陽子,佐,hokkaido-customer-015@example.com,no,,,,名古屋,愛知県,JP-23,日本,JP,,090-4000-6212,no,415508,26,"VIP,リピーター,北海道愛好家",,no,,,,
CUST-3016,田舞,山,hokkaido-customer-016@example.com,no,,,,根室市,北海道,JP-01,日本,JP,,090-9580-7745,no,252334,24,"VIP,リピーター,北海道愛好家",,no,,,,
CUST-3017,本真由美,松,hokkaido-customer-017@example.com,yes,,,,岩見沢市,北海道,JP-01,日本,JP,,090-6553-8548,yes,389769,16,"VIP,リピーター,北海道愛好家",,no,,,,
CUST-3018,村翔太,中,hokkaido-customer-018@example.com,yes,,,,帯広市,北海道,JP-01,日本,JP,,090-9383-3544,no,399361,19,"VIP,リピーター,北海道愛好家",,no,,,,
CUST-3019,幸子,林,hokkaido-customer-019@example.com,yes,,,,赤平市,北海道,JP-01,日本,JP,,090-2489-2878,yes,358461,18,"VIP,リピーター,北海道愛好家",,no,,,,
CUST-3020,田陽子,山,hokkaido-customer-020@example.com,no,,,,旭川市,北海道,JP-01,日本,JP,,090-3757-3864,yes,407881,23,"VIP,リピーター,北海道愛好家",,no,,,,
CUST-3021,村太郎,木,hokkaido-customer-021@example.com,no,,,,北広島市,北海道,JP-01,日本,JP,,090-8083-3126,no,53345,8,リピーター,,no,,,,
CUST-3022,藤真由美,佐,hokkaido-customer-022@example.com,yes,,,,名古屋,愛知県,JP-23,日本,JP,,090-5935-3139,yes,111030,8,リピーター,,no,,,,
CUST-3023,上花子,井,hokkaido-customer-023@example.com,no,,,,伊達市,北海道,JP-01,日本,JP,,090-5835-7972,yes,173315,7,リピーター,,no,,,,
CUST-3024,木拓也,鈴,hokkaido-customer-024@example.com,no,,,,北斗市,北海道,JP-01,日本,JP,,090-5863-6664,yes,57648,6,リピーター,,no,,,,
CUST-3025,中健太,田,hokkaido-customer-025@example.com,no,,,,旭川市,北海道,JP-01,日本,JP,,090-4957-2481,yes,85354,5,リピーター,,no,,,,
CUST-3026,田拓也,吉,hokkaido-customer-026@example.com,no,,,,旭川市,北海道,JP-01,日本,JP,,090-1115-5822,no,198218,6,リピーター,,no,,,,
CUST-3027,藤翔太,斎,hokkaido-customer-027@example.com,yes,,,,北広島市,北海道,JP-01,日本,JP,,090-6993-6161,no,179764,9,リピーター,,no,,,,
CUST-3028,水拓也,清,hokkaido-customer-028@example.com,no,,,,伊達市,北海道,JP-01,日本,JP,,090-7862-2408,no,89271,12,リピーター,,no,,,,
CUST-3029,田陽子,吉,hokkaido-customer-029@example.com,no,,,,東京,東京都,JP-13,日本,JP,,090-5007-4347,yes,191641,8,リピーター,,no,,,,
