Customer ID,First Name,Last Name,Email,Accepts Email Marketing,Company,Address1,Address2,City,Province,Province Code,Country,Country Code,Zip,Phone,Accepts SMS Marketing,Total Spent,Total Orders,Tags,Note,Tax Exempt,Company / 店舗名,Industry / 業種名,Created At,Updated At
CUST-4001,本大輝,山,maeyao-og_fan-4001@example.com,yes,,,,早稲田,新宿区,,日本,JP,,090-1777-8967,yes,158546,25,"OGファン,VIP,激辛愛好家",og_fanタイプの顧客,no,,,,
CUST-4002,中太郎,田,maeyao-og_fan-4002@example.com,yes,,,,横浜,神奈川県,,日本,JP,,090-5953-9534,yes,91660,30,"OGファン,VIP,激辛愛好家",og_fanタイプの顧客,no,,,,
CUST-4003,藤太郎,佐,maeyao-og_fan-4003@example.com,yes,,,,茗荷谷,文京区,,日本,JP,,090-5179-1817,yes,56787,32,"OGファン,VIP,激辛愛好家",og_fanタイプの顧客,no,,,,
CUST-4004,藤花子,佐,maeyao-og_fan-4004@example.com,yes,,,,池袋,豊島区,,日本,JP,,090-3344-6555,yes,142756,20,"OGファン,VIP,激辛愛好家",og_fanタイプの顧客,no,,,,
CUST-4005,辺誠,渡,maeyao-og_fan-4005@example.com,yes,,,,池袋,豊島区,,日本,JP,,090-8454-6504,yes,65676,34,"OGファン,VIP,激辛愛好家",og_fanタイプの顧客,no,,,,
CUST-4006,木太郎,鈴,maeyao-og_fan-4006@example.com,yes,,,,さいたま,埼玉県,,日本,JP,,090-5522-8631,yes,156491,24,"OGファン,VIP,激辛愛好家",og_fanタイプの顧客,no,,,,
CUST-4007,藤浩,伊,maeyao-og_fan-4007@example.com,yes,,,,高田馬場,新宿区,,日本,JP,,090-4894-4366,yes,146104,32,"OGファン,VIP,激辛愛好家",og_fanタイプの顧客,no,,,,
CUST-4008,本翔太,山,maeyao-og_fan-4008@example.com,yes,,,,池袋,豊島区,,日本,JP,,090-4256-8557,yes,118039,29,"OGファン,VIP,激辛愛好家",og_fanタイプの顧客,no,,,,
CUST-4009,木幸子,鈴,maeyao-og_fan-4009@example.com,yes,,,,横浜,神奈川県,,日本,JP,,090-7433-6918,yes,85579,46,"OGファン,VIP,激辛愛好家",og_fanタイプの顧客,no,,,,
CUST-4010,藤愛,加,maeyao-og_fan-4010@example.com,yes,,,,茗荷谷,文京区,,日本,JP,,090-7349-3783,yes,153122,31,"OGファン,VIP,激辛愛好家",og_fanタイプの顧客,no,,,,
CUST-4011,藤直樹,加,maeyao-og_fan-4011@example.com,yes,,,,全国,その他,,日本,JP,,090-4693-5264,yes,63913,32,"OGファン,VIP,激辛愛好家",og_fanタイプの顧客,no,,,,
CUST-4012,木翔太,鈴,maeyao-og_fan-4012@example.com,yes,,,,渋谷,東京都,,日本,JP,,090-9345-1067,yes,91140,21,"OGファン,VIP,激辛愛好家",og_fanタイプの顧客,no,,,,
CUST-4013,藤直樹,佐,maeyao-og_fan-4013@example.com,yes,,,,高田馬場,新宿区,,日本,JP,,090-4474-9885,yes,166448,38,"OGファン,VIP,激辛愛好家",og_fanタイプの顧客,no,,,,
CUST-4014,藤大輝,伊,maeyao-og_fan-4014@example.com,yes,,,,早稲田,新宿区,,日本,JP,,090-3685-6774,yes,173602,27,"OGファン,VIP,激辛愛好家",og_fanタイプの顧客,no,,,,
