Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Outstanding Balance,Employee,Location,Device ID,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References,Customer ID
藤陽子伊,maeyao-og_fan-4016@example.com,paid,2016-08-04 00:00:00 +0900,fulfilled,2016-08-05 00:00:00 +0900,JPY,7940,800,794,9534,,0,宅配便,2016-08-04 00:00:00 +0900,1,超激辛スペシャルカレー（冷凍）,1280,1536,FRZ-SUPER-001,true,true,fulfilled,藤陽子伊,,,,,茗荷谷,,文京区,日本,090-2684-5604,藤陽子伊,,,,,茗荷谷,,文京区,日本,090-2684-5604,辛さレベル5,,クレジットカード,pay-4-4001,0,早稲田メーヤウ,0,,,,ORD-4001,"カレー,超激辛,辛さ5",Low,web,0,消費税 10%,794,,,,,,,,,090-2684-5604,,0,文京区,文京区,pay-id-4-4001,,,pay-4-4001,CUST-4016
藤陽子伊,maeyao-og_fan-4016@example.com,paid,2016-08-04 00:00:00 +0900,fulfilled,2016-08-05 00:00:00 +0900,JPY,7940,800,794,9534,,0,宅配便,2016-08-04 00:00:00 +0900,3,激辛ポークカレー（冷凍）,1080,1296,FRZ-SPRK-001,true,true,fulfilled,藤陽子伊,,,,,茗荷谷,,文京区,日本,090-2684-5604,藤陽子伊,,,,,茗荷谷,,文京区,日本,090-2684-5604,辛さレベル4,,クレジットカード,pay-4-4001,0,早稲田メーヤウ,0,,,,,"カレー,激辛ポーク,辛さ4",Low,web,0,消費税 10%,794,,,,,,,,,090-2684-5604,,0,文京区,文京区,pay-id-4-4001,,,pay-4-4001,CUST-4016
藤陽子伊,maeyao-og_fan-4016@example.com,paid,2016-08-04 00:00:00 +0900,fulfilled,2016-08-05 00:00:00 +0900,JPY,7940,800,794,9534,,0,宅配便,2016-08-04 00:00:00 +0900,1,激辛チキンカレー（冷凍）,1080,1296,FRZ-SCHK-001,true,true,fulfilled,藤陽子伊,,,,,茗荷谷,,文京区,日本,090-2684-5604,藤陽子伊,,,,,茗荷谷,,文京区,日本,090-2684-5604,辛さレベル4,,クレジットカード,pay-4-4001,0,早稲田メーヤウ,0,,,,,"カレー,激辛チキン,辛さ4",Low,web,0,消費税 10%,794,,,,,,,,,090-2684-5604,,0,文京区,文京区,pay-id-4-4001,,,pay-4-4001,CUST-4016
藤陽子伊,maeyao-og_fan-4016@example.com,paid,2016-08-04 00:00:00 +0900,fulfilled,2016-08-05 00:00:00 +0900,JPY,7940,800,794,9534,,0,宅配便,2016-08-04 00:00:00 +0900,3,激辛チキンカレー（レトルト）,780,936,RET-SCHK-001,true,true,fulfilled,藤陽子伊,,,,,茗荷谷,,文京区,日本,090-2684-5604,藤陽子伊,,,,,茗荷谷,,文京区,日本,090-2684-5604,辛さレベル4,,クレジットカード,pay-4-4001,0,早稲田メーヤウ,0,,,,,"カレー,激辛チキン,辛さ4",Low,web,0,消費税 10%,794,,,,,,,,,090-2684-5604,,0,文京区,文京区,pay-id-4-4001,,,pay-4-4001,CUST-4016
藤花子佐,maeyao-og_fan-4004@example.com,paid,2016-08-16 00:00:00 +0900,fulfilled,2016-08-17 00:00:00 +0900,JPY,16140,0,1614,17754,,0,宅配便,2016-08-16 00:00:00 +0900,3,レッドカレー（冷凍）,1180,1416,FRZ-RED-001,true,true,fulfilled,藤花子佐,,,,,池袋,,豊島区,日本,090-3344-6555,藤花子佐,,,,,池袋,,豊島区,日本,090-3344-6555,辛さレベル4,,クレジットカード,pay-4-4002,0,早稲田メーヤウ,0,,,,ORD-4002,"カレー,レッド,辛さ4",Low,web,0,消費税 10%,1614,,,,,,,,,090-3344-6555,,0,豊島区,豊島区,pay-id-4-4002,,,pay-4-4002,CUST-4004
藤花子佐,maeyao-og_fan-4004@example.com,paid,2016-08-16 00:00:00 +0900,fulfilled,2016-08-17 00:00:00 +0900,JPY,16140,0,1614,17754,,0,宅配便,2016-08-16 00:00:00 +0900,3,激辛チャレンジ3種セット（冷凍）,3480,4176,SET-HOT-003,true,true,fulfilled,藤花子佐,,,,,池袋,,豊島区,日本,090-3344-6555,藤花子佐,,,,,池袋,,豊島区,日本,090-3344-6555,辛さレベル4,,クレジットカード,pay-4-4002,0,早稲田メーヤウ,0,,,,,"カレー,激辛セット,辛さ4",Low,web,0,消費税 10%,1614,,,,,,,,,090-3344-6555,,0,豊島区,豊島区,pay-id-4-4002,,,pay-4-4002,CUST-4004
藤花子佐,maeyao-og_fan-4004@example.com,paid,2016-08-16 00:00:00 +0900,fulfilled,2016-08-17 00:00:00 +0900,JPY,16140,0,1614,17754,,0,宅配便,2016-08-16 00:00:00 +0900,2,激辛チキンカレー（冷凍）,1080,1296,FRZ-SCHK-001,true,true,fulfilled,藤花子佐,,,,,池袋,,豊島区,日本,090-3344-6555,藤花子佐,,,,,池袋,,豊島区,日本,090-3344-6555,辛さレベル4,,クレジットカード,pay-4-4002,0,早稲田メーヤウ,0,,,,,"カレー,激辛チキン,辛さ4",Low,web,0,消費税 10%,1614,,,,,,,,,090-3344-6555,,0,豊島区,豊島区,pay-id-4-4002,,,pay-4-4002,CUST-4004
中太郎田,maeyao-og_fan-4029@example.com,paid,2016-05-18 00:00:00 +0900,fulfilled,2016-05-19 00:00:00 +0900,JPY,4720,800,472,5992,,0,宅配便,2016-05-18 00:00:00 +0900,1,激辛ポークカレー（冷凍）,1080,1296,FRZ-SPRK-001,true,true,fulfilled,中太郎田,,,,,茗荷谷,,文京区,日本,090-6063-6081,中太郎田,,,,,茗荷谷,,文京区,日本,090-6063-6081,辛さレベル4,,クレジットカード,pay-4-4003,0,早稲田メーヤウ,0,,,,ORD-4003,"カレー,激辛ポーク,辛さ4",Low,web,0,消費税 10%,472,,,,,,,,,090-6063-6081,,0,文京区,文京区,pay-id-4-4003,,,pay-4-4003,CUST-4029
中太郎田,maeyao-og_fan-4029@example.com,paid,2016-05-18 00:00:00 +0900,fulfilled,2016-05-19 00:00:00 +0900,JPY,4720,800,472,5992,,0,宅配便,2016-05-18 00:00:00 +0900,2,超激辛スペシャルカレー（冷凍）,1280,1536,FRZ-SUPER-001,true,true,fulfilled,中太郎田,,,,,茗荷谷,,文京区,日本,090-6063-6081,中太郎田,,,,,茗荷谷,,文京区,日本,090-6063-6081,辛さレベル5,,クレジットカード,pay-4-4003,0,早稲田メーヤウ,0,,,,,"カレー,超激辛,辛さ5",Low,web,0,消費税 10%,472,,,,,,,,,090-6063-6081,,0,文京区,文京区,pay-id-4-4003,,,pay-4-4003,CUST-4029
中太郎田,maeyao-og_fan-4029@example.com,paid,2016-05-18 00:00:00 +0900,fulfilled,2016-05-19 00:00:00 +0900,JPY,4720,800,472,5992,,0,宅配便,2016-05-18 00:00:00 +0900,1,激辛ポークカレー（冷凍）,1080,1296,FRZ-SPRK-001,true,true,fulfilled,中太郎田,,,,,茗荷谷,,文京区,日本,090-6063-6081,中太郎田,,,,,茗荷谷,,文京区,日本,090-6063-6081,辛さレベル4,,クレジットカード,pay-4-4003,0,早稲田メーヤウ,0,,,,,"カレー,激辛ポーク,辛さ4",Low,web,0,消費税 10%,472,,,,,,,,,090-6063-6081,,0,文京区,文京区,pay-id-4-4003,,,pay-4-4003,CUST-4029
